"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"28",28,"FEC","Donald J. Trump for President, Inc.","2015-08-20",35457.5,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"29",29,"FEC","Donald J. Trump for President, Inc.","2015-08-22",3063.2,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"30",30,"FEC","Donald J. Trump for President, Inc.","2015-08-24",25.12,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"31",31,"FEC","Donald J. Trump for President, Inc.","2015-08-24",14.46,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"32",32,"FEC","Donald J. Trump for President, Inc.","2015-08-26",1483,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"33",33,"FEC","Donald J. Trump for President, Inc.","2015-08-27",4164.59,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"34",34,"FEC","Donald J. Trump for President, Inc.","2015-08-28",6.8,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"35",35,"FEC","Donald J. Trump for President, Inc.","2015-08-31",702.24,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"36",36,"FEC","Donald J. Trump for President, Inc.","2015-09-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"37",37,"FEC","Donald J. Trump for President, Inc.","2015-09-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"38",38,"FEC","Donald J. Trump for President, Inc.","2015-09-02",286.73,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING [AMEX: SB23.6878]","TRUMP HOTEL","Las Vegas","NV",2015,NA,NA,"36.127804:-115.167915"
"39",39,"FEC","Donald J. Trump for President, Inc.","2015-09-03",5.82,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"40",40,"FEC","Donald J. Trump for President, Inc.","2015-09-03",3954.54,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"41",41,"FEC","Donald J. Trump for President, Inc.","2015-09-03",35457.5,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"42",42,"FEC","Donald J. Trump for President, Inc.","2015-09-05",2460.94,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"43",43,"FEC","Donald J. Trump for President, Inc.","2015-09-10",14,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"44",44,"FEC","Donald J. Trump for President, Inc.","2015-09-10",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"45",45,"FEC","Donald J. Trump for President, Inc.","2015-09-11",10.41,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"46",46,"FEC","Donald J. Trump for President, Inc.","2015-09-17",15.51,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"47",47,"FEC","Donald J. Trump for President, Inc.","2015-09-17",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"48",48,"FEC","Donald J. Trump for President, Inc.","2015-09-18",6.64,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"49",49,"FEC","Donald J. Trump for President, Inc.","2015-09-19",2460.94,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"50",50,"FEC","Donald J. Trump for President, Inc.","2015-09-21",335.59,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING [C&M: SB23.6896]","TRUMP INTL HOTEL","Las Vegas","NV",2015,NA,NA,"36.127804:-115.167915"
"51",51,"FEC","Donald J. Trump for President, Inc.","2015-09-23",4.42,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"52",52,"FEC","Donald J. Trump for President, Inc.","2015-09-24",94.46,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"53",53,"FEC","Donald J. Trump for President, Inc.","2015-09-24",9.78,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"54",54,"FEC","Donald J. Trump for President, Inc.","2015-09-24",4591.67,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"55",55,"FEC","Donald J. Trump for President, Inc.","2015-09-25",35457.5,"Rent","The Trump Corporation","RENT","THE TRUMP CORPORATION","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"56",56,"FEC","Donald J. Trump for President, Inc.","2015-09-25",300696,"Travel","Tag Air, Inc.","TRAVEL: AIRFARE","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"57",57,"FEC","Donald J. Trump for President, Inc.","2015-10-01",6.88,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"58",58,"FEC","Donald J. Trump for President, Inc.","2015-10-01",18.35,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"59",59,"FEC","Donald J. Trump for President, Inc.","2015-10-01",3548.49,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"60",60,"FEC","Donald J. Trump for President, Inc.","2015-10-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"61",61,"FEC","Donald J. Trump for President, Inc.","2015-10-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"62",62,"FEC","Donald J. Trump for President, Inc.","2015-10-02",10.21,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"63",63,"FEC","Donald J. Trump for President, Inc.","2015-10-05",4.73,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"64",64,"FEC","Donald J. Trump for President, Inc.","2015-10-06",15.22,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"65",65,"FEC","Donald J. Trump for President, Inc.","2015-10-07",2460.94,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"66",66,"FEC","Donald J. Trump for President, Inc.","2015-10-08",3499.34,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"67",67,"FEC","Donald J. Trump for President, Inc.","2015-10-13",10.02,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"68",68,"FEC","Donald J. Trump for President, Inc.","2015-10-15",1216.27,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"69",69,"FEC","Donald J. Trump for President, Inc.","2015-10-16",10.02,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"70",70,"FEC","Donald J. Trump for President, Inc.","2015-10-19",100,"Food","Trump Soho NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP SOHO NEW YORK","New York","NY",2015,NA,NA,"40.725544:-74.005272"
"71",71,"FEC","Donald J. Trump for President, Inc.","2015-10-20",174.04,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"72",72,"FEC","Donald J. Trump for President, Inc.","2015-10-21",2460.94,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"73",73,"FEC","Donald J. Trump for President, Inc.","2015-10-22",11.39,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"74",74,"FEC","Donald J. Trump for President, Inc.","2015-10-22",8.64,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"75",75,"FEC","Donald J. Trump for President, Inc.","2015-10-22",7990.94,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"76",76,"FEC","Donald J. Trump for President, Inc.","2015-10-26",21.07,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"77",77,"FEC","Donald J. Trump for President, Inc.","2015-10-27",20.4,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"78",78,"FEC","Donald J. Trump for President, Inc.","2015-10-27",8.71,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248391]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"79",79,"FEC","Donald J. Trump for President, Inc.","2015-10-29",5574.93,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"80",80,"FEC","Donald J. Trump for President, Inc.","2015-11-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"81",81,"FEC","Donald J. Trump for President, Inc.","2015-11-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"82",82,"FEC","Donald J. Trump for President, Inc.","2015-11-02",15,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"83",83,"FEC","Donald J. Trump for President, Inc.","2015-11-03",10.64,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"84",84,"FEC","Donald J. Trump for President, Inc.","2015-11-04",2544.01,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"85",85,"FEC","Donald J. Trump for President, Inc.","2015-11-05",13.83,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"86",86,"FEC","Donald J. Trump for President, Inc.","2015-11-05",6250.41,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"87",87,"FEC","Donald J. Trump for President, Inc.","2015-11-06",258930,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"88",88,"FEC","Donald J. Trump for President, Inc.","2015-11-09",18.72,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"89",89,"FEC","Donald J. Trump for President, Inc.","2015-11-09",35457.5,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"90",90,"FEC","Donald J. Trump for President, Inc.","2015-11-11",6.8,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"91",91,"FEC","Donald J. Trump for President, Inc.","2015-11-11",44.49,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"92",92,"FEC","Donald J. Trump for President, Inc.","2015-11-12",2991.27,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"93",93,"FEC","Donald J. Trump for President, Inc.","2015-11-16",15.96,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"94",94,"FEC","Donald J. Trump for President, Inc.","2015-11-18",2544.01,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"95",95,"FEC","Donald J. Trump for President, Inc.","2015-11-19",4931.32,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"96",96,"FEC","Donald J. Trump for President, Inc.","2015-11-23",31.66,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248392]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
