"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"239",239,"FEC","Donald J. Trump for President, Inc.","2016-08-29",430.51,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"240",240,"FEC","Donald J. Trump for President, Inc.","2016-08-29",430.51,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"241",241,"FEC","Donald J. Trump for President, Inc.","2016-08-31",2066.44,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"242",242,"FEC","Donald J. Trump for President, Inc.","2016-08-31",319496,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"243",243,"FEC","Donald J. Trump for President, Inc.","2016-09-01",2573.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"244",244,"FEC","Donald J. Trump for President, Inc.","2016-09-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"245",245,"FEC","Donald J. Trump for President, Inc.","2016-09-03",6197.32,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"246",246,"FEC","Donald J. Trump for President, Inc.","2016-09-08",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"247",247,"FEC","Donald J. Trump for President, Inc.","2016-09-09",868,"Events","Other","FACILITY RENTAL","TRUMP PARK AVENUE, LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"248",248,"FEC","Donald J. Trump for President, Inc.","2016-09-09",231.98,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"249",249,"FEC","Donald J. Trump for President, Inc.","2016-09-09",2000,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"250",250,"FEC","Donald J. Trump for President, Inc.","2016-09-09",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"251",251,"FEC","Donald J. Trump for President, Inc.","2016-09-09",283464,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"252",252,"FEC","Donald J. Trump for President, Inc.","2016-09-12",9480.5,"Events","Trump Golf Club Charlotte","FACILITY RENTAL/CATERING","TRUMP NATIONAL GOLF CLUB CHARLOTTE","Moorseville","NC",2016,NA,NA,"35.531978:-80.918631"
"253",253,"FEC","Donald J. Trump for President, Inc.","2016-09-12",417.55,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"254",254,"FEC","Donald J. Trump for President, Inc.","2016-09-15",1202.25,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"255",255,"FEC","Donald J. Trump for President, Inc.","2016-09-15",1202.25,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"256",256,"FEC","Donald J. Trump for President, Inc.","2016-09-15",801.5,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"257",257,"FEC","Donald J. Trump for President, Inc.","2016-09-15",1202.25,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"258",258,"FEC","Donald J. Trump for President, Inc.","2016-09-15",1202.25,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"259",259,"FEC","Donald J. Trump for President, Inc.","2016-09-15",801.5,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"260",260,"FEC","Donald J. Trump for President, Inc.","2016-09-15",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"261",261,"FEC","Donald J. Trump for President, Inc.","2016-09-16",400.75,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"262",262,"FEC","Donald J. Trump for President, Inc.","2016-09-16",400.75,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"263",263,"FEC","Donald J. Trump for President, Inc.","2016-09-17",533.45,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"264",264,"FEC","Donald J. Trump for President, Inc.","2016-09-17",533.45,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"265",265,"FEC","Donald J. Trump for President, Inc.","2016-09-17",8735.72,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"266",266,"FEC","Donald J. Trump for President, Inc.","2016-09-20",7173.6,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"267",267,"FEC","Donald J. Trump for President, Inc.","2016-09-20",7173.6,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"268",268,"FEC","Donald J. Trump for President, Inc.","2016-09-22",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"269",269,"FEC","Donald J. Trump for President, Inc.","2016-09-23",1127.03,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"270",270,"FEC","Donald J. Trump for President, Inc.","2016-09-23",1127.03,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"271",271,"FEC","Donald J. Trump for President, Inc.","2016-09-23",2419.08,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"272",272,"FEC","Donald J. Trump for President, Inc.","2016-09-23",2419.08,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"273",273,"FEC","Donald J. Trump for President, Inc.","2016-09-26",1021.43,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"274",274,"FEC","Donald J. Trump for President, Inc.","2016-09-26",1242.76,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"275",275,"FEC","Donald J. Trump for President, Inc.","2016-09-26",1021.43,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"276",276,"FEC","Donald J. Trump for President, Inc.","2016-09-26",458.77,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"277",277,"FEC","Donald J. Trump for President, Inc.","2016-09-26",1242.76,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"278",278,"FEC","Donald J. Trump for President, Inc.","2016-09-26",458.77,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2587063]","TRUMP HOTEL","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"279",279,"FEC","Donald J. Trump for President, Inc.","2016-09-29",956.26,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"280",280,"FEC","Donald J. Trump for President, Inc.","2016-09-29",2172.45,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"281",281,"FEC","Donald J. Trump for President, Inc.","2016-09-29",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"282",282,"FEC","Donald J. Trump for President, Inc.","2016-09-30",925.11,"Lodging","Trump Hotel Chicago","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL AND TOWER CHICAGO","Chicago","IL",2016,NA,NA,"41.889019:-87.626549"
"283",283,"FEC","Donald J. Trump for President, Inc.","2016-09-30",828.26,"Other","Trump Ice LLC","OFFICE SUPPLIES","TRUMP ICE LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"284",284,"FEC","Donald J. Trump for President, Inc.","2016-09-30",473970.25,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"285",285,"FEC","Donald J. Trump for President, Inc.","2016-10-01",7519.36,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"286",286,"FEC","Donald J. Trump for President, Inc.","2016-10-01",7519.36,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"287",287,"FEC","Donald J. Trump for President, Inc.","2016-10-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"288",288,"FEC","Donald J. Trump for President, Inc.","2016-10-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"289",289,"FEC","Donald J. Trump for President, Inc.","2016-10-04",458.77,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"290",290,"FEC","Donald J. Trump for President, Inc.","2016-10-05",1020.8,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"291",291,"FEC","Donald J. Trump for President, Inc.","2016-10-06",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"292",292,"FEC","Donald J. Trump for President, Inc.","2016-10-06",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"293",293,"FEC","Donald J. Trump for President, Inc.","2016-10-07",234,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS [AMEX: SB23.2859906]","TRUMP RESTAURANTS","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"294",294,"FEC","Donald J. Trump for President, Inc.","2016-10-07",1000,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"295",295,"FEC","Donald J. Trump for President, Inc.","2016-10-07",1000,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"296",296,"FEC","Donald J. Trump for President, Inc.","2016-10-07",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"297",297,"FEC","Donald J. Trump for President, Inc.","2016-10-07",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"298",298,"FEC","Donald J. Trump for President, Inc.","2016-10-12",6039.88,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL/CATERING SERVICES","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"299",299,"FEC","Donald J. Trump for President, Inc.","2016-10-12",6039.88,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL/CATERING SERVICES","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"300",300,"FEC","Donald J. Trump for President, Inc.","2016-10-13",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"301",301,"FEC","Donald J. Trump for President, Inc.","2016-10-13",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"302",302,"FEC","Donald J. Trump for President, Inc.","2016-10-14",3984.88,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"303",303,"FEC","Donald J. Trump for President, Inc.","2016-10-14",3984.88,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"304",304,"FEC","Donald J. Trump for President, Inc.","2016-10-14",1343,"Lodging","Trump Virginia Acquisitions, LLC","TRAVEL: LODGING","TRUMP VIRGINIA ACQUISITIONS, LLC","Charlottesville","VA",2016,NA,NA,"38.030796:-78.441235"
"305",305,"FEC","Donald J. Trump for President, Inc.","2016-10-14",1343,"Lodging","Trump Virginia Acquisitions, LLC","TRAVEL: LODGING","TRUMP VIRGINIA ACQUISITIONS, LLC","Charlottesville","VA",2016,NA,NA,"38.030796:-78.441235"
"306",306,"FEC","Donald J. Trump for President, Inc.","2016-10-15",9013.45,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"307",307,"FEC","Donald J. Trump for President, Inc.","2016-10-15",9013.45,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"308",308,"FEC","Donald J. Trump for President, Inc.","2016-10-17",8544,"Events","Trump Golf Club D.C.","FACILITY RENTAL/CATERING SERVICES","TRUMP NATIONAL GOLF CLUB WASHINGTON DC","Potomac Falls","VA",2016,NA,NA,"39.052459:-77.347594"
"309",309,"FEC","Donald J. Trump for President, Inc.","2016-10-17",8544,"Events","Trump Golf Club D.C.","FACILITY RENTAL/CATERING SERVICES","TRUMP NATIONAL GOLF CLUB WASHINGTON DC","Potomac Falls","VA",2016,NA,NA,"39.052459:-77.347594"
"310",310,"FEC","Donald J. Trump for President, Inc.","2016-10-17",13431.88,"Events","Trump Hotel D.C.","FACILITY RENTAL/CATERING SERVICES","Trump International Hotel","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"311",311,"FEC","Donald J. Trump for President, Inc.","2016-10-17",13431.88,"Events","Trump Hotel D.C.","FACILITY RENTAL/CATERING SERVICES","Trump International Hotel","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"312",312,"FEC","Donald J. Trump for President, Inc.","2016-10-17",79043.94,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL LAS VEGAS","Las Vegas","NV",2016,NA,NA,"36.127804:-115.167915"
"313",313,"FEC","Donald J. Trump for President, Inc.","2016-10-17",79043.94,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL LAS VEGAS","Las Vegas","NV",2016,NA,NA,"36.127804:-115.167915"
"314",314,"FEC","Donald J. Trump for President, Inc.","2016-10-17",18731.9,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING [AMEX: SB23.2859911]","TRUMP INTERNATIONAL HOTEL LAS VEGAS","Las Vegas","NV",2016,NA,NA,"36.127804:-115.167915"
"315",315,"FEC","Donald J. Trump for President, Inc.","2016-10-17",460.27,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"316",316,"FEC","Donald J. Trump for President, Inc.","2016-10-20",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"317",317,"FEC","Donald J. Trump for President, Inc.","2016-10-25",216.38,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [SB23.231014]","THE TRUMP BAR","New York","NY",2016,NA,NA,"40.762377:-73.973989"
"318",318,"FEC","Donald J. Trump for President, Inc.","2016-10-25",16142.61,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","Las Vegas","NV",2016,NA,NA,"36.127804:-115.167915"
"319",319,"FEC","Donald J. Trump for President, Inc.","2016-10-25",10248,"Lodging","Trump Hotel NY","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"320",320,"FEC","Donald J. Trump for President, Inc.","2016-10-27",524.7,"Lodging","Trump Golf Club Jupiter","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP NATIONAL GOLF CLUB","Jupiter","FL",2016,NA,NA,"26.890032:-80.089848"
"321",321,"FEC","Donald J. Trump for President, Inc.","2016-10-27",524.7,"Lodging","Trump Golf Club Jupiter","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP NATIONAL GOLF CLUB","Jupiter","FL",2016,NA,NA,"26.890032:-80.089848"
"322",322,"FEC","Donald J. Trump for President, Inc.","2016-10-27",1473.4,"Lodging","Trump Golf Club Miami","TRAVEL: LODGING [AMEX: SB23.2859911]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"323",323,"FEC","Donald J. Trump for President, Inc.","2016-10-27",956.08,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING [AMEX: SB23.2859906]","Trump International Hotel","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"324",324,"FEC","Donald J. Trump for President, Inc.","2016-10-27",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"325",325,"FEC","Donald J. Trump for President, Inc.","2016-10-28",226.84,"Events","Trump Golf Club Miami","FACILITY RENTAL - AMEX [SB23.4102]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"326",326,"FEC","Donald J. Trump for President, Inc.","2016-10-28",31820.97,"Events","Trump Golf Club Miami","FACILITY RENTAL - AMEX [SB23.4102]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"327",327,"FEC","Donald J. Trump for President, Inc.","2016-10-28",9587.47,"Events","Trump Golf Club Miami","FACILITY RENTAL - AMEX [SB23.4102]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"328",328,"FEC","Donald J. Trump for President, Inc.","2016-10-31",14314.42,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL AND CATERING SERVICES","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"329",329,"FEC","Donald J. Trump for President, Inc.","2016-10-31",11600,"Events","Trump Golf Club D.C.","FACILITY RENTAL AND CATERING SERVICES","TRUMP NATIONAL GOLF CLUB WASHINGTON DC","Potomac Falls","VA",2016,NA,NA,"39.052459:-77.347594"
"330",330,"FEC","Donald J. Trump for President, Inc.","2016-10-31",8896.68,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"331",331,"FEC","Donald J. Trump for President, Inc.","2016-10-31",1000,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"332",332,"FEC","Donald J. Trump for President, Inc.","2016-10-31",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"333",333,"FEC","Donald J. Trump for President, Inc.","2016-10-31",783842,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"334",334,"FEC","Donald J. Trump for President, Inc.","2016-11-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"335",335,"FEC","Donald J. Trump for President, Inc.","2016-11-02",683.04,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"336",336,"FEC","Donald J. Trump for President, Inc.","2016-11-02",9245.93,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL WASHINGTON","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"337",337,"FEC","Donald J. Trump for President, Inc.","2016-11-02",4099.2,"Lodging","Trump Hotel NY","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL & TOWER","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"338",338,"FEC","Donald J. Trump for President, Inc.","2016-11-03",626.99,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL WASHINGTON","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"339",339,"FEC","Donald J. Trump for President, Inc.","2016-11-03",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"340",340,"FEC","Donald J. Trump for President, Inc.","2016-11-08",11541.2,"Events","Trump Golf Club Miami","FACILITY RENTAL - AMEX [SB23.4102]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"341",341,"FEC","Donald J. Trump for President, Inc.","2016-11-08",21141.28,"Events","Trump Golf Club Miami","FACILITY RENTAL - AMEX [SB23.4102]","TRUMP NATIONAL DORAL MIAMI","Doral","FL",2016,NA,NA,"25.818840:-80.343826"
"342",342,"FEC","Donald J. Trump for President, Inc.","2016-11-10",224.53,"Lodging","Trump Hotel NY","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL & TOWER","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"343",343,"FEC","Donald J. Trump for President, Inc.","2016-11-11",4611.6,"Lodging","Trump Hotel NY","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL & TOWER","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"344",344,"FEC","Donald J. Trump for President, Inc.","2016-11-12",6990.81,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"345",345,"FEC","Donald J. Trump for President, Inc.","2016-11-14",12265.61,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING - AMEX [SB23.4103]","TRUMP INTERNATIONAL HOTEL WASHINGTON","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"346",346,"FEC","Donald J. Trump for President, Inc.","2016-11-17",1394.62,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING - AMEX [SB23.4102]","Trump International Hotel","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
"347",347,"FEC","Donald J. Trump for President, Inc.","2016-11-17",1029.77,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"348",348,"FEC","Donald J. Trump for President, Inc.","2016-11-22",6850.44,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL AND CATERING SERVICES","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"349",349,"FEC","Donald J. Trump for President, Inc.","2016-11-22",24147.4,"Events","Trump Golf Club Jupiter","FACILITY RENTAL AND CATERING SERVICES","TRUMP NATIONAL GOLF CLUB","Jupiter","FL",2016,NA,NA,"26.890032:-80.089848"
"350",350,"FEC","Donald J. Trump for President, Inc.","2016-11-22",11541.2,"Events","Trump Golf Club Miami","FACILITY RENTAL AND CATERING SERVICES","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"351",351,"FEC","Donald J. Trump for President, Inc.","2016-11-22",7896.35,"Events","Trump Soho NY","FACILITY RENTAL","TRUMP SOHO","New York","NY",2016,NA,NA,"40.725544:-74.005272"
"352",352,"FEC","Donald J. Trump for President, Inc.","2016-11-22",2459.52,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"353",353,"FEC","Donald J. Trump for President, Inc.","2016-11-22",4275,"Lodging","Trump Golf Club Bedminster","TRAVEL: LODGING","TRUMP INTERNATIONAL GOLF CLUB - BEDMINSTER","Bedminster","NJ",2016,NA,NA,"40.653775:-74.697349"
"354",354,"FEC","Donald J. Trump for President, Inc.","2016-11-23",18584.97,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL LAS VEGAS","Las Vegas","NV",2016,NA,NA,"36.127804:-115.167915"
"355",355,"FEC","Donald J. Trump for President, Inc.","2016-11-28",479.91,"Food","Trump Golf Club D.C.","MEETING EXPENSE: MEALS","TRUMP NATIONAL GOLF CLUB DC","Potomac Falls","VA",2016,NA,NA,"39.052459:-77.347594"
